user1,user2,timestamp
5956,8362,1285007954.0
8362,5996,1285141540.0
5996,1382,1285168824.0
1382,2436,1285281459.0
2436,5607,1285334274.0
5607,1,1.0
7299,2229,1284983437.0
2229,3461,1284984635.0
3461,11527,1284987397.0
11527,6566,1284994923.0
6566,9845,1284995916.0
9845,9298,1285002007.0
9298,7165,1285003493.0
7165,9502,1285060939.0
9502,959,1285060959.0
959,3835,1285061282.0
3835,2506,1285061535.0
2506,6853,1285063967.0
6853,537,1285064146.0
537,10764,1285066243.0
10764,2783,1285074322.0
2783,3408,1285165007.0
3408,5456,1285165691.0
5456,8523,1285194765.0
8523,1175,1285195491.0
1175,4956,1285256254.0
4956,960,1285258276.0
960,11281,1285265533.0
11281,4550,1285269095.0
4550,6279,1285344871.0
6279,3094,1285360049.0
3094,7834,1285372599.0
7834,11658,1285379762.0
11658,8551,1285382825.0
8551,9579,1285392082.0
9579,8660,1285393363.0
8660,4102,1285409333.0
4102,4805,1285414548.0
4805,5743,1285435140.0
5743,7665,1285436000.0
7665,1742,1285479496.0
1742,12221,1285484021.0
12221,4317,1285509537.0
4317,12586,1285538574.0
12586,10362,1285692256.0
10362,10520,1285811280.0
10520,10065,1285833234.0
10065,6627,1285935498.0
6627,1,1.0
1186,4749,1284975918.0
4749,10725,1284978084.0
10725,3195,1284980480.0
3195,8984,1284980913.0
8984,12334,1284981079.0
12334,3272,1284981713.0
3272,2796,1284982190.0
2796,648,1284986422.0
648,2739,1284994719.0
2739,2271,1285001222.0
2271,9356,1285009514.0
9356,1252,1285010196.0
1252,6939,1285011054.0
6939,3393,1285021025.0
3393,3230,1285023032.0
3230,7795,1285028110.0
7795,226,1285028954.0
226,4745,1285033684.0
4745,8033,1285040659.0
8033,3632,1285043031.0
3632,7796,1285043776.0
7796,11102,1285043862.0
11102,8374,1285045823.0
8374,7323,1285046402.0
7323,2110,1285046792.0
2110,1838,1285046987.0
1838,2527,1285048794.0
2527,7262,1285051305.0
7262,3392,1285051355.0
3392,11105,1285055076.0
11105,7742,1285055416.0
7742,2393,1285056638.0
2393,8641,1285059164.0
8641,6554,1285059219.0
6554,8425,1285092281.0
8425,4846,1285103498.0
4846,1399,1285123583.0
1399,12264,1285128879.0
12264,3316,1285131037.0
3316,11713,1285132306.0
11713,12466,1285134700.0
12466,11375,1285144020.0
11375,5959,1285161169.0
5959,7030,1285163211.0
7030,427,1285170918.0
427,9416,1285184017.0
9416,968,1285186571.0
968,828,1285191578.0
828,9332,1285193124.0
9332,12543,1285203570.0
12543,8995,1285205789.0
8995,8244,1285206267.0
8244,4840,1285209113.0
4840,7877,1285211937.0
7877,8815,1285212003.0
8815,11196,1285219615.0
11196,5003,1285246194.0
5003,8160,1285248929.0
8160,9954,1285266322.0
9954,2984,1285267620.0
2984,8427,1285273669.0
8427,1279,1285275355.0
1279,11710,1285293732.0
11710,10231,1285294022.0
10231,12544,1285298334.0
12544,12034,1285298803.0
12034,11939,1285301233.0
11939,8898,1285303364.0
8898,1015,1285305840.0
1015,1485,1285320314.0
1485,11256,1285325382.0
11256,9455,1285325757.0
9455,3686,1285349118.0
3686,10446,1285364623.0
10446,2962,1285368467.0
2962,12286,1285371023.0
12286,2062,1285391857.0
2062,6152,1285392062.0
6152,10629,1285399903.0
10629,8693,1285403355.0
8693,11341,1285406600.0
11341,12614,1285407146.0
12614,12171,1285409288.0
12171,10655,1285422445.0
10655,6568,1285434402.0
6568,3887,1285445877.0
3887,3680,1285447824.0
3680,8053,1285459204.0
8053,311,1285459820.0
311,7017,1285461938.0
7017,2223,1285488088.0
2223,497,1285488649.0
497,6214,1285496959.0
6214,8464,1285516948.0
8464,8168,1285518284.0
8168,10935,1285519716.0
10935,4835,1285523087.0
4835,10433,1285533834.0
10433,1,1.0
10101,7659,1284976018.0
7659,6268,1284977977.0
6268,2973,1284979413.0
2973,5705,1284984972.0
5705,10516,1284990559.0
10516,9017,1284992544.0
9017,7246,1284997063.0
7246,5796,1284998870.0
5796,3185,1285001284.0
3185,6476,1285004505.0
6476,4033,1285009826.0
4033,5647,1285013662.0
5647,6234,1285013718.0
6234,9359,1285016871.0
9359,5036,1285017323.0
5036,12238,1285018690.0
12238,2679,1285022858.0
2679,12107,1285033960.0
12107,1253,1285037228.0
1253,5960,1285040572.0
5960,12326,1285050092.0
12326,11025,1285053320.0
11025,2550,1285058881.0
2550,5237,1285073744.0
5237,5807,1285075494.0
5807,6491,1285079928.0
6491,8585,1285081739.0
8585,8926,1285086288.0
8926,10203,1285088681.0
10203,3976,1285092395.0
3976,6866,1285097852.0
6866,11233,1285101957.0
11233,1395,1285103408.0
1395,4373,1285109211.0
4373,9718,1285113154.0
9718,4543,1285121015.0
4543,10931,1285134181.0
10931,642,1285151982.0
642,4534,1285152308.0
4534,531,1285163233.0
531,6474,1285179422.0
6474,10508,1285181692.0
10508,8766,1285191413.0
8766,11296,1285193307.0
11296,3029,1285198652.0
3029,5923,1285198872.0
5923,6864,1285209441.0
6864,243,1285209635.0
243,10837,1285213762.0
10837,10037,1285222477.0
10037,11563,1285222824.0
11563,1331,1285223240.0
1331,4671,1285239433.0
4671,2480,1285256281.0
2480,10608,1285258377.0
10608,9914,1285261561.0
9914,3405,1285281433.0
3405,6311,1285287365.0
6311,5776,1285290634.0
5776,10486,1285353142.0
10486,7231,1285364590.0
7231,11335,1285405976.0
11335,6905,1285490631.0
6905,4071,1285511206.0
4071,28,1285528657.0
28,3466,1285533892.0
3466,2770,1285548665.0
2770,1,1.0
4728,12272,1284989281.0
12272,1857,1284997512.0
1857,5244,1284999015.0
5244,7953,1284999703.0
7953,10097,1285000205.0
10097,582,1285000463.0
582,5742,1285003803.0
5742,9605,1285025117.0
9605,4085,1285032255.0
4085,6483,1285058419.0
6483,5458,1285063065.0
5458,3708,1285064319.0
3708,7823,1285074459.0
7823,3358,1285074602.0
3358,4733,1285085448.0
4733,11227,1285091995.0
11227,8358,1285095610.0
8358,2333,1285101052.0
2333,3576,1285107007.0
3576,1011,1285109344.0
1011,10371,1285123872.0
10371,8527,1285134694.0
8527,824,1285135187.0
824,2257,1285142906.0
2257,3803,1285145472.0
3803,7574,1285149759.0
7574,8654,1285167714.0
8654,2488,1285181357.0
2488,11152,1285185867.0
11152,2740,1285194616.0
2740,2618,1285195742.0
2618,1191,1285200776.0
1191,11138,1285204281.0
11138,11217,1285209997.0
11217,560,1285210143.0
560,575,1285216725.0
575,4976,1285227756.0
4976,9794,1285227859.0
9794,8756,1285231102.0
8756,1232,1285233644.0
1232,2651,1285235278.0
2651,2261,1285244976.0
2261,2520,1285261617.0
2520,12465,1285263315.0
12465,5513,1285273529.0
5513,3743,1285281897.0
3743,6759,1285286169.0
6759,7929,1285290328.0
7929,3819,1285291110.0
3819,4075,1285297807.0
4075,3102,1285303284.0
3102,5718,1285313605.0
5718,2339,1285319456.0
2339,7718,1285332399.0
7718,3051,1285344523.0
3051,556,1285346374.0
556,5328,1285349764.0
5328,3901,1285356886.0
3901,380,1285363351.0
380,4862,1285368305.0
4862,10077,1285368506.0
10077,12128,1285394115.0
12128,12446,1285397076.0
12446,4134,1285402715.0
4134,3752,1285410412.0
3752,11125,1285423988.0
11125,3658,1285425327.0
3658,208,1285435503.0
208,799,1285440410.0
799,4585,1285441023.0
4585,9632,1285459205.0
9632,10271,1285463513.0
10271,1752,1285463776.0
1752,7207,1285467525.0
7207,4099,1285491283.0
4099,6923,1285491457.0
6923,11575,1285501543.0
11575,7108,1285509515.0
7108,10368,1285513160.0
10368,4866,1285521485.0
4866,3647,1285535090.0
3647,6166,1285554927.0
6166,62,1285559630.0
62,5321,1285573425.0
5321,11276,1285581405.0
11276,491,1285583982.0
491,2865,1285591204.0
2865,5726,1285595494.0
5726,4771,1285610401.0
4771,10646,1285619057.0
10646,2555,1285619529.0
2555,517,1285634679.0
517,9190,1285645213.0
9190,10695,1285646319.0
10695,4971,1285653285.0
4971,2200,1285677654.0
2200,2475,1285678925.0
2475,2172,1285681097.0
2172,3108,1285681921.0
3108,2389,1285683830.0
2389,11070,1285688806.0
11070,12575,1285690438.0
12575,11049,1285690683.0
11049,4259,1285690725.0
4259,4986,1285701754.0
4986,11212,1285721810.0
11212,10206,1285723206.0
10206,4062,1285735581.0
4062,11841,1285736517.0
11841,4772,1285744196.0
4772,7579,1285744884.0
7579,9430,1285753201.0
9430,1877,1285756945.0
1877,11864,1285760516.0
11864,2251,1285768531.0
2251,9110,1285771579.0
9110,10505,1285774663.0
10505,3475,1285809533.0
3475,4249,1285813956.0
4249,11865,1285815419.0
11865,9527,1285816585.0
9527,3163,1285828490.0
3163,7036,1285834010.0
7036,9593,1285835421.0
9593,7380,1285836728.0
7380,3361,1285843010.0
3361,10439,1285844866.0
10439,10627,1285877184.0
10627,6251,1285882964.0
6251,7123,1285885127.0
7123,5762,1285892617.0
5762,2810,1285893392.0
2810,10730,1285926353.0
10730,2033,1285939586.0
2033,9602,1285941640.0
9602,3248,1285944644.0
3248,6715,1285947231.0
6715,7258,1285950944.0
7258,1,1.0
5923,10101,1284981384.0
10101,10486,1284982377.0
10486,531,1284997646.0
531,2679,1284997660.0
2679,6234,1285024567.0
6234,3666,1285026073.0
3666,9914,1285031202.0
9914,11025,1285035300.0
11025,3182,1285042330.0
3182,6311,1285047963.0
6311,3976,1285061814.0
3976,5776,1285067417.0
5776,243,1285071028.0
243,7231,1285071232.0
7231,6491,1285081714.0
6491,2770,1285100417.0
2770,5705,1285110986.0
5705,2480,1285112297.0
2480,10516,1285123749.0
10516,10837,1285129182.0
10837,5888,1285146384.0
5888,5237,1285152940.0
5237,6268,1285154392.0
6268,5036,1285157743.0
5036,4033,1285159247.0
4033,11563,1285159814.0
11563,8766,1285169816.0
8766,9718,1285177953.0
9718,6864,1285178838.0
6864,10508,1285203297.0
10508,6866,1285211332.0
6866,10037,1285226073.0
10037,2597,1285228588.0
2597,9497,1285230275.0
9497,4373,1285233418.0
4373,11233,1285240582.0
11233,10203,1285254288.0
10203,6905,1285256643.0
6905,5647,1285263883.0
5647,12107,1285266171.0
12107,1331,1285280835.0
1331,2550,1285301893.0
2550,28,1285305478.0
28,10608,1285323254.0
10608,9017,1285323767.0
9017,12238,1285328321.0
12238,4543,1285340622.0
4543,6476,1285348314.0
6476,7659,1285357580.0
7659,1,1.0
7323,4085,1285068578.0
4085,3163,1285156679.0
3163,9714,1285175498.0
9714,5288,1285188698.0
5288,9904,1285189110.0
9904,3714,1285203681.0
3714,4021,1285423713.0
4021,12446,1285428463.0
12446,10627,1285435291.0
10627,5244,1285439738.0
5244,7922,1285459398.0
7922,11177,1285489355.0
11177,5323,1285510701.0
5323,1,1.0
3047,11417,1284982925.0
11417,9960,1284984223.0
9960,409,1284984377.0
409,990,1284991089.0
990,4599,1284993280.0
4599,12555,1284999202.0
12555,439,1285000695.0
439,1540,1285007526.0
1540,11712,1285009847.0
11712,11257,1285020523.0
11257,722,1285022291.0
722,6847,1285022959.0
6847,5259,1285022989.0
5259,3106,1285024211.0
3106,8012,1285037832.0
8012,5056,1285037959.0
5056,5358,1285045899.0
5358,3538,1285046119.0
3538,11081,1285047697.0
11081,12084,1285050645.0
12084,12187,1285053216.0
12187,417,1285056060.0
417,2526,1285056119.0
2526,2222,1285059571.0
2222,10085,1285059731.0
10085,11863,1285062879.0
11863,9352,1285075537.0
9352,5461,1285075929.0
5461,2220,1285078759.0
2220,8356,1285080254.0
8356,1388,1285082198.0
1388,11766,1285083714.0
11766,3332,1285084576.0
3332,4059,1285085920.0
4059,8254,1285086959.0
8254,10706,1285101480.0
10706,7909,1285106526.0
7909,815,1285106825.0
815,9094,1285108300.0
9094,9742,1285114942.0
9742,9791,1285126568.0
9791,3226,1285128074.0
3226,9064,1285139533.0
9064,1599,1285141867.0
1599,2916,1285147608.0
2916,4530,1285149901.0
4530,187,1285153504.0
187,5266,1285155070.0
5266,10889,1285155297.0
10889,6605,1285157122.0
6605,7649,1285159573.0
7649,7496,1285159844.0
7496,12498,1285161217.0
12498,3990,1285162022.0
3990,10307,1285162741.0
10307,7536,1285163500.0
7536,2089,1285165304.0
2089,12052,1285165730.0
12052,9426,1285165740.0
9426,8357,1285166957.0
8357,1268,1285167460.0
1268,9674,1285168989.0
9674,9294,1285171320.0
9294,7738,1285175101.0
7738,1033,1285175944.0
1033,10393,1285179642.0
10393,5903,1285183065.0
5903,7413,1285185329.0
7413,612,1285189400.0
612,3684,1285197334.0
3684,8502,1285197675.0
8502,4838,1285204917.0
4838,7317,1285205441.0
7317,150,1285206906.0
150,5944,1285212951.0
5944,9079,1285216975.0
9079,802,1285217140.0
802,10849,1285217556.0
10849,11461,1285223171.0
11461,9757,1285223394.0
9757,8388,1285224211.0
8388,2061,1285228176.0
2061,1503,1285232674.0
1503,11255,1285237034.0
11255,5446,1285237946.0
5446,4041,1285240205.0
4041,8419,1285242374.0
8419,11198,1285243257.0
11198,10099,1285243683.0
10099,4018,1285244871.0
